Turbine;Rotordurchmesser;Nabenhöhe;Einschaltgeschwindigkeit;Nennwindgeschwindigkeit;Abschaltgeschwindigkeit
DWT Danish Wind Tech Windane 34 US;34.8;32.0;5.0;13.0;25.0
DWT Danish Wind Tech Windane 40;40.0;45.0;5.0;14.5;25.0
DANREGN Bonus 22;10.0;18.0;3.0;13.0;28.0
DANREGN Bonus 22;10.0;24.0;3.0;13.0;28.0
DANREGN Bonus 30;11.0;18.0;4.0;18.0;25.0
DANREGN Bonus 30;11.0;24.0;4.0;18.0;25.0
DANREGN Bonus 55;16.2;24.0;3.0;13.0;28.0
DANREGN Bonus 95;19.4;24.5;3.0;13.0;28.0
DANREGN Bonus 100;19.4;24.5;3.0;12.0;28.0
Danwin Danwin 23;23.2;30.0;5.0;13.0;25.0
DeWind D4 48/600;48.0;60.0;2.5;11.5;19.0
DeWind D4 48/600;48.0;70.0;2.5;11.5;19.0
Dongfang G2000-116 / FD116-2000 geared;116.0;80.0;3.0;9.0;20.0
Dongfang G2000-116 / FD116-2000 geared;116.0;90.0;3.0;9.0;20.0
ecotècnia ECO 12/30;12.0;14.0;4.0;13.0;25.0
ecotècnia ECO 48/750;48.0;45.0;4.0;14.5;25.0
ecotècnia ECO 48/750;48.0;55.0;4.0;14.5;25.0
Enercon E-16;16.2;22.5;3.0;12.0;25.0
Enercon E-16;16.2;28.5;3.0;12.0;25.0
Enercon E-17;17.2;28.5;2.5;13.0;25.0
Enercon E-17;17.2;30.5;2.5;13.0;25.0
Enercon E-18;18.0;28.5;2.5;12.0;25.0
Enercon E-18;18.0;30.1;2.5;12.0;25.0
Enercon E-18;18.0;32.5;2.5;12.0;25.0
Enercon E-18;18.0;34.1;2.5;12.0;25.0
Enercon E-18;18.0;36.7;2.5;12.0;25.0
Enercon E-30;29.6;50.0;2.5;13.5;25.0
Enercon E-33 / 300;33.0;35.0;3.0;11.5;25.0
Enercon E-33 / 300;33.0;41.0;3.0;11.5;25.0
Enercon E-33 / 300;33.0;47.0;3.0;11.5;25.0
Enercon E-40/5.40;40.3;42.0;2.5;12.0;25.0
Enercon E-40/5.40;40.3;48.0;2.5;12.0;25.0
Enercon E-40/5.40;40.3;65.0;2.5;12.0;25.0
Enercon E-40/6.44;43.7;50.0;2.5;12.0;28.0
Enercon E-40/6.44;43.7;58.0;2.5;12.0;28.0
Enercon E-40/6.44;43.7;65.0;2.5;12.0;28.0
Enercon E-40/6.44;43.7;78.0;2.5;12.0;28.0
Enercon E-44;44.0;45.0;3.0;16.5;34.0
Enercon E-44;44.0;55.0;3.0;16.5;34.0
Enercon E-48;48.0;50.0;3.0;12.0;34.0
Enercon E-48;48.0;55.0;3.0;12.0;34.0
Enercon E-48;48.0;60.0;3.0;12.0;34.0
Enercon E-48;48.0;65.0;3.0;12.0;34.0
Enercon E-48;48.0;76.0;3.0;12.0;34.0
Enercon E-53;52.9;60.0;3.0;12.0;34.0
Enercon E-53;52.9;73.0;3.0;12.0;34.0
Enercon E-58/10.58;58.6;59.0;2.5;12.0;34.0
Enercon E-58/10.58;58.6;67.0;2.5;12.0;34.0
Enercon E-58/10.58;58.6;70.5;2.5;12.0;34.0
Enercon E-58/10.58;58.6;89.0;2.5;12.0;34.0
Enercon E-66/15.66;66.0;67.0;2.5;13.0;25.0
Enercon E-66/15.66;66.0;100.0;2.5;13.0;25.0
Enercon E-66/18.70;70.0;65.0;2.5;12.5;34.0
Enercon E-66/18.70;70.0;80.0;2.5;12.5;34.0
Enercon E-66/18.70;70.0;86.0;2.5;12.5;34.0
Enercon E-66/18.70;70.0;98.0;2.5;12.5;34.0
Enercon E-66/18.70;70.0;114.0;2.5;12.5;34.0
Enercon E-70 E4 2.300;71.0;58.0;2.5;15.0;34.0
Enercon E-70 E4 2.300;71.0;64.0;2.5;15.0;34.0
Enercon E-70 E4 2.300;71.0;70.0;2.5;15.0;34.0
Enercon E-70 E4 2.300;71.0;85.0;2.5;15.0;34.0
Enercon E-70 E4 2.300;71.0;98.0;2.5;15.0;34.0
Enercon E-70 E4 2.300;71.0;99.0;2.5;15.0;34.0
Enercon E-70 E4 2.300;71.0;113.0;2.5;15.0;34.0
Enercon E-82 E2 2.300;82.0;78.0;3.0;12.0;34.0
Enercon E-82 E2 2.300;82.0;85.0;3.0;12.0;34.0
Enercon E-82 E2 2.300;82.0;98.0;3.0;12.0;34.0
Enercon E-82 E2 2.300;82.0;108.0;3.0;12.0;34.0
Enercon E-82 E2 2.300;82.0;138.0;3.0;12.0;34.0
Enercon E-82 E2 2.000;82.0;78.0;2.0;12.5;34.0
Enercon E-82 E2 2.000;82.0;85.0;2.0;12.5;34.0
Enercon E-82 E2 2.000;82.0;98.0;2.0;12.5;34.0
Enercon E-82 E2 2.000;82.0;108.0;2.0;12.5;34.0
Enercon E-82 E2 2.000;82.0;138.0;2.0;12.5;34.0
Enercon E-82 E4 2.350;82.0;59.0;2.0;14.0;34.0
Enercon E-82 E4 2.350;82.0;69.0;2.0;14.0;34.0
Enercon E-82 E4 2.350;82.0;78.0;2.0;14.0;34.0
Enercon E-82 E4 2.350;82.0;84.0;2.0;14.0;34.0
Enercon E-82 E4 3.000;82.0;59.0;3.0;16.0;34.0
Enercon E-82 E4 3.000;82.0;69.0;3.0;16.0;34.0
Enercon E-82 E4 3.000;82.0;78.0;3.0;16.0;34.0
Enercon E-82 E4 3.000;82.0;84.0;3.0;16.0;34.0
Enercon E-92;92.0;78.0;2.0;14.0;25.0
Enercon E-92;92.0;84.0;2.0;14.0;25.0
Enercon E-92;92.0;85.0;2.0;14.0;25.0
Enercon E-92;92.0;98.0;2.0;14.0;25.0
Enercon E-92;92.0;104.0;2.0;14.0;25.0
Enercon E-92;92.0;108.0;2.0;14.0;25.0
Enercon E-92;92.0;138.0;2.0;14.0;25.0
Enercon E-101;101.0;99.0;2.0;13.0;25.0
Enercon E-101;101.0;124.0;2.0;13.0;25.0
Enercon E-101;101.0;135.0;2.0;13.0;25.0
Enercon E-101;101.0;149.0;2.0;13.0;25.0
Enercon E-101 E2 3.050;101.0;74.0;2.0;13.0;34.0
Enercon E-101 E2 3.500;101.0;74.0;2.0;15.0;25.0
Enercon E-112/45.114;114.0;124.0;2.5;13.0;34.0
Enercon E-115 2.500;115.0;92.5;3.0;12.0;34.0
Enercon E-115 2.500;115.0;149.0;3.0;12.0;34.0
Enercon E-115 EP3 3.000 prototype;115.7;67.0;2.5;12.8;34.0
Enercon E-115 EP3 3.000 prototype;115.7;87.0;2.5;12.8;34.0
Enercon E-115 EP3 3.000 prototype;115.7;92.0;2.5;12.8;34.0
Enercon E-115 EP3 3.000 prototype;115.7;122.0;2.5;12.8;34.0
Enercon E-115 EP3 3.000 prototype;115.7;135.0;2.5;12.8;34.0
Enercon E-115 EP3 3.000 prototype;115.7;149.0;2.5;12.8;34.0
Enercon E-115 3.000;115.7;92.0;2.0;11.5;25.0
Enercon E-115 3.000;115.7;135.0;2.0;11.5;25.0
Enercon E-115 3.000;115.7;149.0;2.0;11.5;25.0
Enercon E-126 EP4;127.0;99.0;3.0;13.5;34.0
Enercon E-126 EP4;127.0;135.0;3.0;13.5;34.0
Enercon E-126 EP4;127.0;144.0;3.0;13.5;34.0
Enercon E-126 7.58 EP8;127.0;135.0;3.0;16.5;34.0
Enercon E-141 EP4;141.0;129.0;3.0;14.0;34.0
Enercon E-141 EP4;141.0;159.0;3.0;14.0;34.0
Enercon E-175 EP5;175.0;112.0;2.0;12.5;25.0
Enercon E-175 EP5;175.0;132.0;2.0;12.5;25.0
Enercon E-175 EP5;175.0;162.0;2.0;12.5;25.0
eno energy eno 100;100.5;99.0;3.0;12.0;25.0
eno energy eno 114 3.5;114.9;92.0;3.0;13.0;25.0
eno energy eno 114 3.5;114.9;128.0;3.0;13.0;25.0
eno energy eno 114 3.5;114.9;142.0;3.0;13.0;25.0
eno energy eno 126 3.5;126.0;117.0;3.0;13.0;25.0
eno energy eno 126 3.5;126.0;137.0;3.0;13.0;25.0
Enron 900s;55.0;60.0;4.0;11.6;25.0
FREEN 20 kW;7.0;19.0;3.5;14.9;17.0
Fuhrländer FL MD 77;77.0;61.5;3.0;11.1;20.0
Fuhrländer FL MD 77;77.0;85.0;3.0;11.1;20.0
Fuhrländer FL MD 77;77.0;100.0;3.0;11.1;20.0
Fuhrländer FL MD 77;77.0;114.5;3.0;11.1;20.0
Fuhrländer FL 2500/90;90.0;85.0;4.0;12.5;25.0
Fuhrländer FL 2500/90;90.0;100.0;4.0;12.5;25.0
Fuhrländer FL 2500/90;90.0;117.0;4.0;12.5;25.0
Fuhrländer FL 2500/90;90.0;141.0;4.0;12.5;25.0
Fuhrländer FL 2500/90;90.0;160.0;4.0;12.5;25.0
Fuhrländer FL 2500/100;100.0;85.0;3.5;12.0;25.0
Fuhrländer FL 2500/100;100.0;100.0;3.5;12.0;25.0
Fuhrländer FL 2500/100;100.0;*141;3.5;12.0;25.0
Fuhrländer FL 2500/100;100.0;*160;3.5;12.0;25.0
Fuhrländer FL 2500/104;104.0;85.0;3.5;13.0;25.0
Fuhrländer FL 2500/104;104.0;100.0;3.5;13.0;25.0
Fuhrländer FL 2500/104;104.0;117.0;3.5;13.0;25.0
Fuhrländer FL 2500/104;104.0;141.0;3.5;13.0;25.0
Fuhrländer FL 2500/104;104.0;160.0;3.5;13.0;25.0
Fuhrländer LLC WTU2.0-93;93.0;70.0;3.0;12.0;25.0
Fuhrländer LLC WTU2.0-93;93.0;85.0;3.0;12.0;25.0
Fuhrländer LLC WTU2.0-93;93.0;100.0;3.0;12.0;25.0
Fuhrländer LLC WTU2.0-93;93.0;117*;3.0;12.0;25.0
Fuhrländer LLC WTU2.0-93;93.0;141*;3.0;12.0;25.0
Fuhrländer LLC WTU2.0-100;100.0;70.0;3.0;11.5;25.0
Fuhrländer LLC WTU2.0-100;100.0;85.0;3.0;11.5;25.0
Fuhrländer LLC WTU2.0-100;100.0;100.0;3.0;11.5;25.0
Fuhrländer LLC WTU2.0-100;100.0;117*;3.0;11.5;25.0
Fuhrländer LLC WTU2.0-100;100.0;141*;3.0;11.5;25.0
Fuhrländer LLC WTU3.0-120;120.0;90.0;3.0;12.0;25.0
Fuhrländer LLC WTU3.0-120;120.0;100.0;3.0;12.0;25.0
Fuhrländer LLC WTU3.0-120;120.0;120.0;3.0;12.0;25.0
Fuhrländer LLC WTU3.0-120;120.0;120*;3.0;12.0;25.0
Fuhrländer LLC WTU3.0-120;120.0;140*;3.0;12.0;25.0
Fuhrländer LLC WTU3.0-120;120.0;160*;3.0;12.0;25.0
Fuhrländer LLC WTU3.5-120;120.7;90.0;3.0;13.0;25.0
Fuhrländer LLC WTU3.5-120;120.7;100.0;3.0;13.0;25.0
Fuhrländer LLC WTU3.5-120;120.7;120.0;3.0;13.0;25.0
Fuhrländer LLC WTU4.5-151;151.0;120.0;3.0;12.0;20.0
FWT 93/2000;93.0;85.0;3.0;11.5;25.0
FWT 93/2000;93.0;100.0;3.0;11.5;25.0
FWT 93/2000;93.0;117*;3.0;11.5;25.0
FWT 93/2000;93.0;141*;3.0;11.5;25.0
FWT 100/2000;100.0;85.0;3.0;11.5;25.0
FWT 100/2000;100.0;100.0;3.0;11.5;25.0
FWT 100/2000;100.0;117*;3.0;11.5;25.0
FWT 100/2000;100.0;141*;3.0;11.5;25.0
FWT 100/2500;100.0;85.0;3.5;13.0;25.0
FWT 100/2500;100.0;100.0;3.5;13.0;25.0
FWT 100/2500;100.0;141*;3.5;13.0;25.0
FWT 100/2500;100.0;160*;3.5;13.0;25.0
FWT 104/2500;104.0;85.0;3.5;12.0;25.0
FWT 104/2500;104.0;100.0;3.5;12.0;25.0
FWT 104/2500;104.0;141*;3.5;12.0;25.0
FWT 104/2500;104.0;160*;3.5;12.0;25.0
FWT 120/3000;120.6;90.0;3.0;12.0;25.0
FWT 120/3000;120.6;100.0;3.0;12.0;25.0
FWT 120/3000;120.6;140*;3.0;12.0;25.0
Gamesa G52;52.0;44.0;4.0;13.0;25.0
Gamesa G52;52.0;55.0;4.0;13.0;25.0
Gamesa G52;52.0;65.0;4.0;13.0;25.0
Gamesa G58;58.0;44.0;3.0;12.5;20.0
Gamesa G58;58.0;55.0;3.0;12.5;20.0
Gamesa G58;58.0;65.0;3.0;12.5;20.0
Gamesa G58;58.0;74.0;3.0;12.5;20.0
Gamesa G80;80.0;60.0;3.5;12.0;25.0
Gamesa G80;80.0;67.0;3.5;12.0;25.0
Gamesa G80;80.0;78.0;3.5;12.0;25.0
Gamesa G80;80.0;100.0;3.5;12.0;25.0
Gamesa G83;83.0;67.0;4.0;13.5;25.0
Gamesa G83;83.0;78.0;4.0;13.5;25.0
Gamesa G97;97.0;78.0;3.0;11.0;25.0
Gamesa G97;97.0;90.0;3.0;11.0;25.0
Gamesa G97;97.0;100.0;3.0;11.0;25.0
Gamesa G97;97.0;120.0;3.0;11.0;25.0
Gamesa G114-2.0MW;114.0;93.0;2.5;10.0;25.0
Gamesa G114-2.0MW;114.0;120.0;2.5;10.0;25.0
Gamesa G114-2.0MW;114.0;140.0;2.5;10.0;25.0
Gamesa G114-2.5MW;114.0;64.0;2.0;10.0;25.0
Gamesa G114-2.5MW;114.0;80.0;2.0;10.0;25.0
Gamesa G114-2.5MW;114.0;93.0;2.0;10.0;25.0
Gamesa G114-2.5MW;114.0;120.0;2.0;10.0;25.0
Gamesa G114-2.5MW;114.0;140.0;2.0;10.0;25.0
Gamesa G126-2.5MW;126.0;84.0;2.0;10.0;21.0
Gamesa G126-2.5MW;126.0;102.0;2.0;10.0;21.0
Gamesa G126-2.5MW;126.0;129site specific;2.0;10.0;21.0
Gamesa G128-4.5MW;128.0;81.0;1.0;12.0;27.0
Gamesa G128-4.5MW;128.0;120.0;1.0;12.0;27.0
Gamesa G128-4.5MW;128.0;140.0;1.0;12.0;27.0
Gamesa G128-5.0MW;128.0;81.0;2.0;14.0;27.0
Gamesa G128-5.0MW;128.0;95.0;2.0;14.0;27.0
Gamesa G128-5.0MW;128.0;120.0;2.0;14.0;27.0
Gamesa G128-5.0MW;128.0;140.0;2.0;14.0;27.0
Gamesa G132-3.3MW;132.0;84.0;2.0;10.0;25.0
Gamesa G132-3.3MW;132.0;97.0;2.0;10.0;25.0
Gamesa G132-3.3MW;132.0;114.0;2.0;10.0;25.0
Gamesa G132-3.3MW;132.0;134 and site specific;2.0;10.0;25.0
Gamesa G132-5.0MW;132.0;95.0;1.5;13.0;27.0
Gamesa G132-5.0MW;132.0;120.0;1.5;13.0;27.0
Gamesa G132-5.0MW;132.0;140.0;1.5;13.0;27.0
Garuda G 1700.84;84.0;80.0;3.5;10.8;24.0
Garuda G 1700.84;84.0;103.0;3.5;10.8;24.0
GE Vernova GE 1.5s;70.5;64.7;4.0;13.0;25.0
GE Vernova GE 1.5s;70.5;80.0;4.0;13.0;25.0
GE Vernova GE 1.5s;70.5;85.0;4.0;13.0;25.0
GE Vernova GE 1.5s;70.5;100.0;4.0;13.0;25.0
GE Vernova GE 1.5sl;77.0;61.4;3.5;12.0;25.0
GE Vernova GE 1.5sl;77.0;64.7;3.5;12.0;25.0
GE Vernova GE 1.5sl;77.0;80.0;3.5;12.0;25.0
GE Vernova GE 1.5sl;77.0;85.0;3.5;12.0;25.0
GE Vernova GE 1.5sl;77.0;100.0;3.5;12.0;25.0
GE Vernova GE 1.6 - 100;100.0;80.0;3.5;11.0;25.0
GE Vernova GE 1.6 - 100;100.0;100.0;3.5;11.0;25.0
GE Vernova GE 2.5 - 100;100.0;75.0;3.0;13.0;25.0
GE Vernova GE 2.5 - 100;100.0;85.0;3.0;13.0;25.0
GE Vernova GE 2.5-103;103.0;85.0;3.0;12.0;25.0
GE Vernova GE 2.5-103;103.0;100.0;3.0;12.0;25.0
GE Vernova GE 2.5 - 120;120.0;110.0;3.0;-;25.0
GE Vernova GE 2.5 - 120;120.0;139.0;3.0;-;25.0
GE Vernova GE 2.75 - 103;103.0;75.0;3.0;13.0;25.0
GE Vernova GE 2.75 - 103;103.0;85.0;3.0;13.0;25.0
GE Vernova GE 2.75 - 103;103.0;98.3;3.0;13.0;25.0
GE Vernova GE 2.75 - 103;103.0;123.5;3.0;13.0;25.0
GE Vernova GE 2.75 - 120;120.0;85.0;-;-;-
GE Vernova GE 2.75 - 120;120.0;110.0;-;-;-
GE Vernova GE 2.75 - 120;120.0;139.0;-;-;-
GE Vernova GE 3.2-130;130.0;85.0;2.0;12.0;25.0
GE Vernova GE 3.2-130;130.0;110.0;2.0;12.0;25.0
GE Vernova GE 3.2-130;130.0;134*;2.0;12.0;25.0
GE Vernova GE 3.2-130;130.0;155';2.0;12.0;25.0
GE Vernova GE 3.4-137;137.0;85.0;-;-;-
GE Vernova GE 3.4-137;137.0;110.0;-;-;-
GE Vernova GE 3.4-137;137.0;131.0;-;-;-
GE Vernova GE 3.4-137;137.0;134.0;-;-;-
GE Vernova GE 3.4-137;137.0;155.0;-;-;-
Greenstorm GS 21 S;22.3;30.0;3.0;8.8;25.0
Greenstorm GS 21 S;22.3;36.0;3.0;8.8;25.0
WEG AGW 100;24.4;37.0;3.0;12.0;25.0
Halbes 1 kW;2.0;site specific;2.0;11.0;25.0
Halbes 2 kW;2.0;site specific;2.0;13.0;25.0
HEAG HW1-780;50.0;50.0;3.5;14.5;25.0
HEAG HW1-780;50.0;60.0;3.5;14.5;25.0
HEAG HW3/S2500(90);90.0;70.0;3.0;12.5;25.0
HEAG HW3/S2500(90);90.0;80.0;3.0;12.5;25.0
HEAG HW3/S2500(90);90.0;90.0;3.0;12.5;25.0
HEAG HW3/S2500(90);90.0;100.0;3.0;12.5;25.0
HEAG HW3/S2500(97);97.0;70.0;3.0;12.0;25.0
HEAG HW3/S2500(97);97.0;80.0;3.0;12.0;25.0
HEAG HW3/S2500(103);103.0;80.0;3.0;11.7;25.0
HEAG HW3/S2500(103);103.0;90.0;3.0;11.7;25.0
HEAG HW3/S2500(110);110.0;80.0;3.0;10.5;22.0
HEAG HW3/S2500(110);110.0;90.0;3.0;10.5;22.0
Iskra AT5-1;5.4;9.0;2.5;12.0;60.0
Iskra AT5-1;5.4;12.0;2.5;12.0;60.0
Iskra AT5-1;5.4;15.0;2.5;12.0;60.0
Jacobs Wind Electric 31-20;9.5;24.5;3.5;-;-
Jacobs Wind Electric 31-20;9.5;48.5;3.5;-;-
Krogmann 15-50;15.0;30.0;2.5;14.0;25.0
Krogmann 15-50;15.0;37.0;2.5;14.0;25.0
Kuriant KE 18/4EH;10.9;20.0;3.5;23.0;25.0
Lagerwey LW 52/750;51.5;35-75;2.5;13.0;25.0
Lagerwey LW 58/750;58.0;75.0;1.0;11.0;20.0
Lagerwey LW 72/2000;71.2;65.0;2.0;13.0;25.0
Lagerwey LW 72/2000;71.2;80.0;2.0;13.0;25.0
Leitwind LTW42 250;42.0;29.47;3.0;9.0;25.0
Leitwind LTW42 500;42.0;28.0;2.5;13.0;20.0
Leitwind LTW42 500;42.0;39.0;2.5;13.0;20.0
Leitwind LTW77 800;76.6;61.5;3.0;11.0;25.0
Leitwind LTW77 800;76.6;65.0;3.0;11.0;25.0
Leitwind LTW77 800;76.6;80.0;3.0;11.0;25.0
Leitwind LTW77 850;76.6;61.5;3.0;11.0;25.0
Leitwind LTW77 850;76.6;65.0;3.0;11.0;25.0
Leitwind LTW77 850;76.6;80.0;3.0;11.0;25.0
Leitwind LTW77 1000;76.6;61.5;3.0;11.0;25.0
Leitwind LTW77 1000;76.6;65.0;3.0;11.0;25.0
Leitwind LTW77 1000;76.6;80.0;3.0;11.0;25.0
Leitwind LTW77 1500;76.7;61.5;3.0;15.0;25.0
Leitwind LTW77 1500;76.7;65.0;3.0;15.0;25.0
Leitwind LTW77 1500;76.7;80.0;3.0;15.0;25.0
Leitwind LTW80 500;80.0;60.0;3.0;8.0;25.0
Leitwind LTW80 500;80.0;65.0;3.0;8.0;25.0
Leitwind LTW80 500;80.0;80.0;3.0;8.0;25.0
Leitwind LTW80 800;80.3;65.0;3.0;10.0;25.0
Leitwind LTW80 800;80.3;80.0;3.0;10.0;25.0
Leitwind LTW80 850;80.0;65.0;3.0;10.0;25.0
Leitwind LTW80 850;80.0;80.0;3.0;10.0;25.0
Leitwind LTW80 1000;80.3;65.0;3.0;11.0;25.0
Leitwind LTW80 1000;80.3;80.0;3.0;11.0;25.0
Leitwind LTW80 1500;80.3;60.0;3.0;12.0;25.0
Leitwind LTW80 1500;80.3;65.0;3.0;12.0;25.0
Leitwind LTW80 1500;80.3;80.0;3.0;12.0;25.0
Leitwind LTW80 1500;80.3;100.0;3.0;12.0;25.0
Leitwind LTW80 1650;80.3;60.0;3.0;13.0;25.0
Leitwind LTW80 1650;80.3;65.0;3.0;13.0;25.0
Leitwind LTW80 1650;80.3;80.0;3.0;13.0;25.0
Leitwind LTW80 1800;80.3;60.0;3.0;13.0;25.0
Leitwind LTW80 1800;80.3;65.0;3.0;13.0;25.0
