wind_speed;AN Bonus 1000/54;AN Bonus 1300/62;DWT Danish Wind Tech Windane 40;DeWind D4 48/600;ecotècnia ECO 48/750;Enercon E-18;Enercon E-30;Enercon E-33 / 300;Enercon E-40/5.40;Enercon E-40/6.44;Enercon E-44;Enercon E-48;Enercon E-53;Enercon E-58/10.58;Enercon E-66/15.66;Enercon E-66/18.70;Enercon E-70 E4 2.300;Enercon E-82 E2 2.300;Enercon E-82 E2 2.000;Enercon E-82 E4 2.350;Enercon E-82 E4 3.000;Enercon E-92;Enercon E-101;Enercon E-101 E2 3.050;Enercon E-101 E2 3.500;Enercon E-112/45.114;Enercon E-115 2.500;Enercon E-115 EP3 3.000 prototype;Enercon E-115 3.000;Enercon E-126 EP4;Enercon E-126 7.58 EP8;Enercon E-141 EP4;eno energy eno 100;eno energy eno 114 3.5;eno energy eno 126 3.5;Fuhrländer FL MD 77;Fuhrländer FL 2500/100;FWT 93/2000;FWT 100/2000;FWT 100/2500;FWT 104/2500;FWT 120/3000;Gamesa G97;Gamesa G114-2.0MW;Gamesa G114-2.5MW;Gamesa G126-2.5MW;Gamesa G128-4.5MW;Gamesa G128-5.0MW;Gamesa G132-3.3MW;Gamesa G132-5.0MW;GE Vernova GE 1.6 - 100;GE Vernova GE 2.5 - 100;GE Vernova GE 2.5-103;GE Vernova GE 2.5 - 120;GE Vernova GE 2.75 - 103;GE Vernova GE 2.75 - 120;GE Vernova GE 3.2-130;GE Vernova GE 3.4-137;Krogmann 15-50;Micon M 530;NEG Micon NM 48/750;NEG Micon NM 52/900;Nordex N29;Nordex N43;Nordex N50;Nordex N60;Nordex N90/2500;Nordex N100 Delta;Nordex N100 Gamma;Nordex N117 Delta;Nordex N117 Gamma;Nordex N117/3600 Delta;Nordex N131/3000 Delta;Nordex N131/3300 Delta;Nordex N131/3600 Delta;PowerWind PW56;REpower 48/600;Senvion 3.0M122;Senvion 3.2M122;Senvion 3.4M114;Senvion 3.4M140;Senvion MM100;Siemens SWT-2.3-113;Siemens SWT-3.15-142;Siemens SWT-3.2-113;Siemens SWT-3.3-130;Siemens SWT-3.3-130 LN;Siemens SWT-3.6-120 Onshore;Siemens SWT-3.6-130;Südwind S-70;Südwind S-70 (special nacelle);Südwind S-77;Tacke TW 80;Vestas V52;Vestas V90;Vestas V90 Gridstreamer;Vestas V100-1.8;Vestas V112-3.0 Offshore;Vestas V112-3.075 Onshore;Vestas V112-3.3;Vestas V112-3.45;Vestas V117-3.3;Vestas V117-3.45;Vestas V126-3.0;Vestas V126-3.3;Vestas V126-3.45;Vestas V136-3.45;W2E Wind to Energy W2E-93/2.0;W2E Wind to Energy W2E-100/2.0;W2E Wind to Energy W2E-100/2.5;W2E Wind to Energy W2E-120/3fc;Wincon W755/48;Wind World (India) ww-53;WinWinD WWD-1 D56;WinWinD WWD-1 D64
8.0;0.46;;0.38;0.43;0.44;0.437;0.42;0.447;0.41;0.44;0.5;0.48;0.49;;;;0.5;0.49;0.49;0.49;0.483;0.47;0.478;0.47;0.468;0.44;0.47;0.455;0.47;0.45;0.48;0.44;0.44;;0.45;0.46;0.46;0.48;0.44;0.46;0.44;0.45;0.47;0.46;0.47;0.44;0.46;0.48;0.464;0.48;0.47;0.432;0.45;0.47;0.45;0.47;0.45;0.446;;0.43;0.43;0.47;0.44;0.43;0.42;0.43;0.48;0.45;0.47;0.46;0.46;0.465;0.45;0.46;0.46;0.45;0.42;0.45;0.44;0.47;0.75;0.46;0.48;0.443;0.48;0.45;0.458;0.44;0.457;0.433;0.44;0.427;0.35;0.44;0.442;0.44;0.45;0.45;0.45;0.44;0.453;0.44;0.451;0.44;0.44;0.45;0.45;0.479;0.438;0.462;0.448;0.43;0.47;0.418;0.436
8.5;0.46;;;;0.44;;;;0.41;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44;0.44;0.45;0.46;0.45;0.46;0.44;0.433;;;0.43;0.46;0.42;0.44;0.42;0.43;0.47;0.45;0.47;0.45;0.45;0.463;0.44;0.45;0.458;;0.41;;;;;;;;;;;;;0.432;;0.426;0.35;0.47;0.452;0.44;0.44;0.45;0.45;0.45;0.455;0.44;0.453;0.44;0.44;0.449;0.45;;;;;0.43;0.48;;
9.0;0.46;0.446;0.43;0.438;0.44;0.399;0.42;0.44;0.42;0.44;0.5;0.5;0.49;;;;0.5;0.5;0.5;0.5;0.481;0.47;0.478;0.47;0.47;0.44;0.44;0.445;0.45;0.43;0.48;0.41;0.43;;0.42;0.44;0.47;0.47;0.43;0.47;0.43;0.44;0.46;0.4;0.44;0.4;0.46;0.47;0.438;0.47;0.41;0.436;0.44;0.43;0.45;0.43;0.42;0.412;;0.44;0.43;0.45;0.41;0.43;0.41;0.42;0.47;0.45;0.46;0.45;0.43;0.457;0.42;0.44;0.453;0.45;0.4;0.43;0.43;0.46;0.67;0.45;0.45;0.398;0.47;0.44;0.438;0.44;0.444;0.431;0.428;0.423;0.33;0.46;0.439;0.44;0.43;0.44;0.45;0.44;0.456;0.44;0.454;0.44;0.44;0.446;0.44;0.469;0.427;0.469;0.438;0.42;0.48;0.419;0.411
9.5;0.44;;;;0.42;;;;0.42;0.45;;;;;0.426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37;0.432;0.43;0.39;0.43;0.4;0.39;0.384;;;0.41;0.43;0.41;0.42;0.4;0.42;0.46;0.45;0.46;0.43;0.39;0.448;0.39;0.41;0.435;;0.39;;;;;;;;;;;;;0.435;;0.414;0.31;0.45;0.43;0.43;0.4;0.44;0.44;0.44;0.454;0.44;0.451;0.42;0.43;0.438;0.42;;;;;0.42;0.48;;
10.0;0.43;;0.45;0.441;0.41;0.363;0.419;0.435;0.42;0.44;0.5;0.5;0.48;;;;0.5;0.49;0.49;0.49;0.467;0.45;0.477;0.46;0.465;0.44;0.37;0.407;0.4;0.4;0.48;0.36;0.39;;0.39;0.4;0.45;0.41;0.39;0.45;0.41;0.39;0.41;0.31;0.37;0.3;0.44;0.44;0.37;0.44;0.33;0.42;0.41;0.35;0.42;0.36;0.36;0.35;;0.43;0.4;0.41;0.38;0.41;0.39;0.41;0.44;0.45;0.44;0.4;0.35;0.434;0.35;0.37;0.403;0.46;0.38;0.39;0.39;0.44;0.54;0.4;0.37;0.319;0.44;0.38;0.381;0.42;0.401;0.425;0.431;0.407;0.3;0.45;0.408;0.41;0.36;0.43;0.43;0.43;0.446;0.43;0.441;0.38;0.41;0.417;0.38;0.411;0.387;0.451;0.39;0.41;0.47;0.419;0.394
10.5;0.41;;;;0.4;;;;0.4;0.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29;0.392;0.39;0.31;0.39;0.33;0.33;0.314;0.27;;0.39;0.39;0.36;0.4;0.38;0.39;0.43;0.44;0.41;0.37;0.31;0.409;0.31;0.34;0.365;;0.35;;;;;;;;;;;;;0.41;;0.395;0.28;0.42;0.389;0.39;0.32;0.4;0.4;0.41;0.431;0.4;0.42;0.34;0.37;0.381;0.34;;;;;0.4;0.455;;
11.0;0.4;0.39;0.445;0.4;0.39;0.325;0.4;0.399;0.39;0.41;0.48;0.45;0.42;;;;0.49;0.44;0.42;0.44;0.437;0.39;0.439;0.43;0.43;0.43;0.29;0.345;0.34;0.35;0.47;0.31;0.33;;0.33;0.36;0.39;0.35;0.32;0.39;0.36;0.32;0.33;0.24;0.3;0.23;0.39;0.4;0.292;0.39;0.25;0.359;0.35;0.27;0.36;0.29;0.29;0.28;;0.4;0.37;0.37;0.34;0.38;0.36;0.38;0.41;0.42;0.38;0.33;0.28;0.379;0.27;0.3;0.326;0.41;0.34;0.31;0.33;0.39;0.39;0.31;0.28;0.244;0.38;0.3;0.302;0.37;0.327;0.407;0.409;0.369;0.26;0.39;0.361;0.37;0.28;0.37;0.37;0.38;0.405;0.37;0.385;0.3;0.32;0.338;0.29;0.349;0.318;0.386;0.316;0.38;0.431;0.401;0.374
11.5;0.38;;;;0.37;;;;0.37;0.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.22;0.323;0.32;0.24;0.33;0.26;0.26;0.248;;;0.35;0.34;0.32;0.36;0.34;0.36;0.39;0.4;0.34;0.3;0.24;0.346;0.24;0.26;0.287;;0.32;;;;;;;;;;;;;0.381;;0.337;0.24;0.38;0.327;0.33;0.25;0.33;0.33;0.35;0.369;0.33;0.343;0.26;0.28;0.297;0.26;;;;;0.37;0.4;;
12.0;0.35;;0.42;0.313;0.36;0.285;0.36;0.331;0.35;0.36;0.44;0.39;0.34;;;0.38;0.45;0.38;0.35;0.38;0.394;0.32;0.358;0.38;0.377;0.39;0.23;0.279;0.27;0.3;0.43;0.25;0.26;0.32;0.27;0.3;0.3;0.28;0.25;0.3;0.29;0.25;0.26;0.19;0.23;0.19;0.33;0.34;0.227;0.33;0.2;0.298;0.29;0.21;0.3;0.23;0.23;0.219;;0.37;0.33;0.32;0.29;0.35;0.32;0.34;0.36;0.37;0.3;0.27;0.21;0.312;0.21;0.23;0.252;0.34;0.29;0.24;0.26;0.32;0.29;0.24;0.22;0.188;0.3;0.24;0.235;0.3;0.256;0.348;0.35;0.305;0.23;0.35;0.296;0.3;0.22;0.29;0.29;0.31;0.33;0.29;0.303;0.23;0.25;0.261;0.22;0.278;0.248;0.303;0.247;0.35;0.35;0.378;0.298
12.5;0.33;;;;0.34;;;;0.32;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.17;0.263;0.25;;0.27;0.23;0.2;0.194;0.22;;0.31;0.3;0.26;0.32;0.3;0.32;0.32;0.34;0.27;0.23;0.19;0.28;0.19;0.21;0.223;;0.27;;;;;;;;;;;;;0.32;;0.274;0.21;0.32;0.262;0.27;;0.26;0.26;0.28;0.293;0.26;0.268;0.2;0.22;0.231;0.2;;;;;0.33;0.316;;
13.0;0.3;;0.36;0.246;0.31;0.234;0.305;0.261;0.29;0.31;0.39;0.32;0.27;;;;0.39;0.32;0.29;0.32;0.352;0.26;0.283;0.32;0.315;0.32;0.18;0.225;0.21;0.24;0.38;0.2;0.21;0.25;0.21;0.24;0.24;0.22;0.2;0.24;0.22;0.2;0.2;0.15;0.18;0.15;0.26;0.28;0.179;0.27;0.15;0.239;0.23;0.17;0.25;0.23;0.18;0.173;0.2;0.33;0.29;0.28;0.24;0.3;0.28;0.3;0.29;0.31;0.24;0.21;0.17;0.25;0.17;0.18;0.198;0.27;0.25;0.19;0.2;0.25;0.23;0.19;0.17;0.148;0.24;0.19;0.185;0.24;0.202;0.289;0.29;0.245;0.19;0.29;0.234;0.24;0.17;0.23;0.23;0.25;0.26;0.23;0.238;0.18;0.2;0.206;0.18;0.223;0.195;0.24;0.195;0.3;0.27;0.305;0.234
13.5;0.28;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14;0.215;0.2;;0.22;0.23;0.16;0.154;0.18;;0.27;0.26;0.23;0.28;0.27;0.28;0.26;0.28;0.21;0.19;0.15;0.223;0.15;0.16;0.177;;0.22;;;;;;;;;;;;;0.26;;0.218;0.18;0.26;0.211;0.21;;0.21;0.21;0.22;0.232;0.2;0.213;0.16;0.18;0.184;0.16;;;;;0.28;0.26;;
14.0;0.25;;0.29;0.197;0.25;0.187;0.253;0.209;0.23;;0.33;0.27;0.22;;;;0.34;0.26;0.23;0.26;0.312;0.21;0.227;0.26;0.257;0.26;0.14;0.181;0.17;0.2;0.33;0.16;0.17;0.2;0.17;0.19;0.19;0.18;0.16;0.19;0.18;0.16;0.16;0.12;0.15;0.11;0.21;0.23;0.143;0.22;0.12;0.19;0.18;0.13;0.2;0.23;0.15;0.138;;0.29;0.25;0.23;0.2;0.25;0.25;0.26;0.23;0.25;0.19;0.17;0.13;0.2;0.13;0.15;0.159;0.22;0.2;0.15;0.16;0.2;0.18;0.15;0.14;0.118;0.19;0.15;0.148;0.19;0.161;0.233;0.232;0.195;0.16;0.24;0.188;0.19;0.14;0.19;0.19;0.2;0.208;0.18;0.191;0.14;0.16;0.165;0.14;0.179;0.156;0.192;0.156;0.25;0.23;0.244;0.187
14.5;0.23;0.221;;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11;0.171;0.16;;0.18;0.23;0.13;0.125;;;0.23;0.22;0.19;0.23;0.23;0.24;0.21;0.23;0.17;0.15;0.12;0.18;0.12;0.13;0.143;;0.18;;;;;;;;;;;;;0.211;;0.176;0.15;0.21;0.168;0.17;;0.17;0.17;0.18;0.188;0.16;0.172;0.13;0.14;0.148;0.13;;;;;0.23;0.205;;
15.0;0.21;;0.235;0.16;0.2;0.152;0.205;0.17;0.19;;0.28;0.22;0.18;;;;0.28;0.22;0.19;0.22;0.267;0.17;0.184;0.21;0.211;0.21;0.12;0.147;0.14;0.16;0.28;0.13;0.13;0.16;0.14;0.16;0.16;0.15;0.13;0.16;0.15;0.13;0.13;0.1;0.12;0.1;0.17;0.19;0.117;0.18;0.1;0.154;0.15;0.11;0.16;0.23;0.12;0.113;0.14;0.24;0.21;0.2;0.17;0.21;0.21;0.22;0.19;0.2;0.16;0.14;0.11;0.163;0.11;0.12;0.129;0.18;0.17;0.12;0.13;0.16;0.15;0.12;0.11;0.096;0.15;0.12;0.12;0.15;0.131;0.189;0.189;0.159;0.13;0.19;0.153;0.15;0.11;0.15;0.15;0.16;0.169;0.15;0.155;0.12;0.13;0.134;0.12;0.145;0.127;0.156;0.127;0.21;0.18;0.199;0.152
15.5;0.19;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.09;0.14;0.13;;0.15;0.23;0.11;0.102;;;0.19;0.18;;0.19;0.19;0.21;0.17;0.19;0.14;0.12;0.1;0.147;0.1;0.11;0.117;;0.15;;;;;;;;;;;;;0.174;;0.145;0.12;0.18;0.139;0.14;;0.14;0.14;0.15;0.154;0.14;0.141;0.11;0.12;0.121;0.1;;;;;0.19;;;
16.0;0.18;;0.19;0.132;0.17;0.125;0.169;0.14;0.16;;0.24;0.18;0.15;;0.18;;0.23;0.18;0.15;0.18;0.226;0.14;0.152;0.17;0.174;0.18;0.1;0.121;0.11;0.13;0.24;0.11;0.11;0.14;0.11;0.13;0.13;0.12;0.11;0.13;0.12;0.1;0.11;0.08;0.1;0.073;0.14;0.16;0.096;0.15;0.08;0.127;0.12;0.09;0.13;0.23;0.1;0.093;0.12;0.2;0.17;0.17;;0.17;0.17;0.19;0.16;0.17;0.13;0.11;0.09;0.134;0.09;0.1;0.106;0.15;0.14;0.1;0.11;0.13;0.12;0.1;0.09;0.079;0.13;0.1;0.099;0.13;0.108;0.155;0.155;0.132;0.11;0.16;0.128;0.13;0.09;0.12;0.12;0.13;0.14;0.12;0.128;0.1;0.11;0.11;0.1;0.12;0.105;0.128;0.104;0.17;;0.164;0.126
16.5;0.16;;;;0.16;;;;;;;;;;0.164;0.176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.117;0.11;;0.12;0.23;0.09;0.085;;;0.15;0.15;;0.15;0.15;0.18;0.14;0.15;0.12;0.1;0.08;0.122;0.08;0.09;0.097;;0.13;;;;;;;;;;;;;0.142;;0.121;0.1;0.15;0.116;0.12;;0.11;0.11;0.12;0.127;0.11;0.117;0.09;0.1;0.101;0.09;;;;;0.16;;;
17.0;0.15;;0.16;0.11;0.14;0.104;0.141;0.117;0.13;;0.2;0.15;0.12;;;;0.19;0.15;0.13;0.15;0.19;0.12;0.127;0.15;0.145;0.15;0.08;0.101;0.1;0.11;0.2;0.09;0.09;0.11;0.09;0.11;0.11;0.1;0.09;0.11;0.1;0.09;0.09;0.07;0.08;0.065;0.12;0.13;0.08;0.12;0.07;0.108;0.1;0.07;0.11;0.23;0.08;0.077;;0.16;0.14;0.14;;0.15;0.14;0.16;0.13;0.14;0.11;0.09;0.07;0.112;0.07;0.08;0.089;0.12;0.11;0.09;0.09;0.11;0.1;0.09;0.08;0.066;0.11;0.08;0.083;0.11;0.09;0.13;0.13;;0.09;;;0.11;0.08;0.1;0.1;0.11;0.116;0.1;0.107;0.08;0.09;0.092;0.08;0.1;0.087;0.107;0.087;0.14;;0.136;0.105
17.5;0.14;;;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;0.096;0.09;;0.1;0.23;0.07;0.071;;;0.12;0.13;;0.12;0.13;0.15;0.12;0.13;0.1;0.09;0.07;0.102;0.07;0.08;0.081;;;;;;;;;;;;;;;0.12;;;0.08;;;0.1;;0.1;0.1;0.1;0.107;0.09;0.098;0.07;0.08;0.084;0.07;;;;;0.13;;;
18.0;0.12;;;0.093;0.12;0.088;0.119;0.098;0.11;;0.17;0.13;0.1;;;;0.16;0.12;0.11;0.12;0.16;0.1;0.107;0.12;0.122;0.12;0.07;0.085;0.08;0.09;0.17;0.08;0.08;0.09;0.08;0.09;0.09;0.08;0.07;0.09;0.09;0.07;0.08;0.06;0.07;0.051;0.1;0.11;0.067;0.1;0.06;0.087;0.09;0.06;0.09;0.23;0.07;0.065;;0.13;0.11;0.12;;;0.12;0.13;0.11;0.12;0.09;0.08;0.06;0.094;0.06;0.07;0.075;0.1;;0.07;0.08;0.09;0.09;0.07;0.06;0.056;0.09;0.07;0.07;0.09;0.076;0.108;0.109;;0.07;;;0.09;0.06;0.09;0.09;0.09;0.098;0.09;0.09;0.07;0.07;0.077;0.07;0.084;0.074;0.09;0.073;0.12;;0.115;0.088
