experiment,park_id,variant,r2,energy_ratio,wasserstein,rmse_n,mae_n,n_hours,outlier_share,bias_n,commissioning_date,age_years_2023_12
M2,04745,clean_exkl_curt,0.548131,1.282002,0.032157,0.084216,0.049622,7404,0.012932,0.028947,2003-06-01,20.5
M2,05347,raw,0.571036,1.193672,0.052478,0.197096,0.12279,7511,0.231261,0.05247,2018-07-01,5.42
M2,05347,clean,0.808211,1.077821,0.038861,0.12452,0.082292,5774,0.231261,0.02056,2018-07-01,5.42
M2,05347,clean_exkl_curt,0.794472,1.078394,0.038893,0.124811,0.082649,5774,0.231261,0.02056,2018-07-01,5.42
M2,05426,raw,0.668687,1.108915,0.030943,0.176351,0.110602,7512,0.151624,0.030761,2016-09-26,7.18
M2,05426,clean,0.837522,1.060662,0.019296,0.122268,0.085071,6373,0.151624,0.018165,2016-09-26,7.18
M2,05426,clean_exkl_curt,0.832245,1.061508,0.019109,0.122003,0.085102,6373,0.151624,0.018165,2016-09-26,7.18
M2,07374,raw,0.653492,1.123791,0.023797,0.123264,0.074539,7512,0.030884,0.023794,2002-05-17,21.54
M2,07374,clean,0.731668,1.088268,0.018406,0.108502,0.069085,7280,0.030884,0.017442,2002-05-17,21.54
M2,07374,clean_exkl_curt,0.736928,1.080212,0.01643,0.103784,0.066267,7280,0.030884,0.017442,2002-05-17,21.54
M2_simgate,00198_1,raw,0.453913,1.094736,0.025553,0.20302,0.126876,7512,0.097577,0.025534,2013-09-01,10.25
M2_simgate,00198_1,clean,0.617702,1.048207,0.018416,0.167349,0.109658,6779,0.097577,0.013359,2013-09-01,10.25
M2_simgate,00198_1,clean_exkl_curt,0.598861,1.042205,0.017672,0.166808,0.108927,6779,0.097577,0.013359,2013-09-01,10.25
M2_simgate,00198_2,raw,0.673445,1.121458,0.044187,0.19183,0.127086,3649,0.176487,0.043885,2018-12-13,4.97
M2_simgate,00198_2,clean,0.840475,1.123669,0.043761,0.133436,0.091406,3005,0.176487,0.042552,2018-12-13,4.97
M2_simgate,00198_2,clean_exkl_curt,0.836861,1.123921,0.043582,0.133735,0.09198,3005,0.176487,0.042552,2018-12-13,4.97
M2_simgate,00282,raw,0.322959,0.600223,0.143688,0.27055,0.189908,7512,0.134318,-0.143688,2017-02-20,6.78
M2_simgate,00282,clean,0.476447,0.528174,0.162841,0.236606,0.168015,6503,0.134318,-0.162841,2017-02-20,6.78
M2_simgate,00282,clean_exkl_curt,0.468387,0.524215,0.16341,0.237013,0.168579,6503,0.134318,-0.162841,2017-02-20,6.78
M2_simgate,00298,raw,0.472221,1.313827,0.110612,0.239778,0.149921,7512,0.169995,0.110611,2016-12-01,7.0
M2_simgate,00298,clean,0.764357,1.227662,0.080032,0.15753,0.107303,6235,0.169995,0.079603,2016-12-01,7.0
M2_simgate,00298,clean_exkl_curt,0.754814,1.23644,0.081109,0.158753,0.108328,6235,0.169995,0.079603,2016-12-01,7.0
M2_simgate,01200_1,raw,0.074491,1.554983,0.15256,0.28077,0.172154,7512,0.126065,0.15256,2012-01-01,11.92
M2_simgate,01200_1,clean,0.607176,1.400999,0.111685,0.176624,0.125018,6565,0.126065,0.110972,2012-01-01,11.92
M2_simgate,01200_1,clean_exkl_curt,0.580962,1.417848,0.11173,0.176836,0.125155,6565,0.126065,0.110972,2012-01-01,11.92
M2_simgate,01200_2,raw,0.350676,1.505052,0.144283,0.234464,0.15809,7512,0.133387,0.144278,2014-01-01,9.91
M2_simgate,01200_2,clean,0.425041,1.531981,0.133628,0.200276,0.140762,6510,0.133387,0.133554,2014-01-01,9.91
M2_simgate,01200_2,clean_exkl_curt,0.388407,1.553585,0.133934,0.200445,0.140938,6510,0.133387,0.133554,2014-01-01,9.91
M2_simgate,01303_1,raw,0.518535,1.413078,0.090365,0.163299,0.112371,7511,0.05898,0.089951,2009-02-02,14.83
M2_simgate,01303_1,clean,0.520271,1.442488,0.091741,0.15259,0.106396,7068,0.05898,0.090998,2009-02-02,14.83
M2_simgate,01303_1,clean_exkl_curt,0.490924,1.454396,0.090364,0.150838,0.104804,7068,0.05898,0.090998,2009-02-02,14.83
M2_simgate,01303_2,raw,0.59863,1.311952,0.063662,0.136743,0.09173,7511,0.07935,0.062303,2001-11-23,22.02
M2_simgate,01303_2,clean,0.621136,1.331383,0.063069,0.120238,0.08286,6915,0.07935,0.060982,2001-11-23,22.02
M2_simgate,01303_2,clean_exkl_curt,0.603808,1.336079,0.061731,0.118481,0.081224,6915,0.07935,0.060982,2001-11-23,22.02
M2_simgate,02483,raw,-0.014069,1.541025,0.255285,0.362327,0.277482,7512,0.185304,0.250795,2015-12-01,8.0
M2_simgate,02483,clean,0.11147,1.557589,0.262631,0.348346,0.271087,6120,0.185304,0.255769,2015-12-01,8.0
M2_simgate,02483,clean_exkl_curt,0.074043,1.581084,0.267496,0.352332,0.275862,6120,0.185304,0.255769,2015-12-01,8.0
M2_simgate,04745,raw,0.525113,1.285627,0.034707,0.09657,0.055256,7501,0.012932,0.030733,2003-06-01,20.5
M2_simgate,04745,clean,0.57589,1.273715,0.033261,0.088639,0.052327,7404,0.012932,0.028947,2003-06-01,20.5
M2_simgate,04745,clean_exkl_curt,0.548131,1.282002,0.032157,0.084216,0.049622,7404,0.012932,0.028947,2003-06-01,20.5
M2_simgate,05347,raw,0.571036,1.193672,0.052478,0.197096,0.12279,7511,0.231261,0.05247,2018-07-01,5.42
M2_simgate,05347,clean,0.808211,1.077821,0.038861,0.12452,0.082292,5774,0.231261,0.02056,2018-07-01,5.42
M2_simgate,05347,clean_exkl_curt,0.794472,1.078394,0.038893,0.124811,0.082649,5774,0.231261,0.02056,2018-07-01,5.42
M2_simgate,05426,raw,0.668687,1.108915,0.030943,0.176351,0.110602,7512,0.151624,0.030761,2016-09-26,7.18
M2_simgate,05426,clean,0.837522,1.060662,0.019296,0.122268,0.085071,6373,0.151624,0.018165,2016-09-26,7.18
M2_simgate,05426,clean_exkl_curt,0.832245,1.061508,0.019109,0.122003,0.085102,6373,0.151624,0.018165,2016-09-26,7.18
M2_simgate,07374,raw,0.651468,0.956161,0.024434,0.123624,0.076536,7512,0.02263,-0.008426,2002-05-17,21.54
M2_simgate,07374,clean,0.72431,0.923503,0.028979,0.109997,0.071278,7342,0.02263,-0.014996,2002-05-17,21.54
M2_simgate,07374,clean_exkl_curt,0.726445,0.906969,0.028256,0.105845,0.068682,7342,0.02263,-0.014996,2002-05-17,21.54
M2all,00198_1,raw,0.466706,1.067011,0.019171,0.200628,0.125637,7512,0.097577,0.018062,2013-09-01,10.25
M2all,00198_1,clean,0.628062,1.02035,0.017708,0.165066,0.10861,6779,0.097577,0.005639,2013-09-01,10.25
M2all,00198_1,clean_exkl_curt,0.60934,1.013566,0.017614,0.164614,0.107919,6779,0.097577,0.005639,2013-09-01,10.25
M2all,00198_2,raw,0.741027,1.076105,0.027498,0.170831,0.116126,3649,0.180049,0.027498,2018-12-13,4.97
M2all,00198_2,clean,0.872266,1.074597,0.029403,0.11914,0.086268,2992,0.180049,0.026331,2018-12-13,4.97
M2all,00198_2,clean_exkl_curt,0.869292,1.074995,0.029297,0.119544,0.086665,2992,0.180049,0.026331,2018-12-13,4.97
M2all,00282,raw,0.6198,0.974761,0.018195,0.202743,0.128707,7512,0.15402,-0.009072,2017-02-20,6.78
M2all,00282,clean,0.828938,0.904532,0.033884,0.134906,0.093146,6355,0.15402,-0.033878,2017-02-20,6.78
M2all,00282,clean_exkl_curt,0.827728,0.904139,0.033838,0.134578,0.093226,6355,0.15402,-0.033878,2017-02-20,6.78
M2all,00298,raw,0.483687,1.301858,0.106393,0.237159,0.14756,7512,0.169995,0.106392,2016-12-01,7.0
M2all,00298,clean,0.776009,1.215061,0.075645,0.153586,0.104581,6235,0.169995,0.075197,2016-12-01,7.0
M2all,00298,clean_exkl_curt,0.766903,1.223527,0.076723,0.15479,0.105597,6235,0.169995,0.075197,2016-12-01,7.0
M2all,01200_1,raw,0.124307,1.511769,0.140681,0.273109,0.163232,7512,0.126065,0.140681,2012-01-01,11.92
M2all,01200_1,clean,0.660616,1.355344,0.099241,0.164171,0.115034,6565,0.126065,0.098337,2012-01-01,11.92
M2all,01200_1,clean_exkl_curt,0.637974,1.370217,0.099262,0.164367,0.115161,6565,0.126065,0.098337,2012-01-01,11.92
M2all,01200_2,raw,0.390928,1.475844,0.135941,0.22708,0.151376,7512,0.133387,0.135935,2014-01-01,9.91
M2all,01200_2,clean,0.477173,1.497723,0.125037,0.19098,0.133163,6510,0.133387,0.124954,2014-01-01,9.91
M2all,01200_2,clean_exkl_curt,0.443858,1.518071,0.125354,0.191142,0.133316,6510,0.133387,0.124954,2014-01-01,9.91
M2all,01303_1,raw,0.60814,1.336446,0.073678,0.147322,0.100029,7511,0.05898,0.073264,2009-02-02,14.83
M2all,01303_1,clean,0.625331,1.36043,0.074866,0.13485,0.093215,7068,0.05898,0.074123,2009-02-02,14.83
M2all,01303_1,clean_exkl_curt,0.603596,1.369459,0.073617,0.133103,0.091691,7068,0.05898,0.074123,2009-02-02,14.83
M2all,01303_2,raw,0.740548,1.142322,0.032817,0.109941,0.072264,7511,0.07935,0.028425,2001-11-23,22.02
M2all,01303_2,clean,0.791835,1.146407,0.032084,0.089126,0.062076,6915,0.07935,0.026942,2001-11-23,22.02
M2all,01303_2,clean_exkl_curt,0.783464,1.147259,0.031282,0.087591,0.060802,6915,0.07935,0.026942,2001-11-23,22.02
M2all,02483,raw,0.741467,0.944317,0.025812,0.182947,0.121547,7512,0.176917,-0.025812,2015-12-01,8.0
M2all,02483,clean,0.910646,0.932951,0.035975,0.110841,0.082273,6183,0.176917,-0.030599,2015-12-01,8.0
M2all,02483,clean_exkl_curt,0.907396,0.931581,0.03566,0.1118,0.083008,6183,0.176917,-0.030599,2015-12-01,8.0
M2all,04745,raw,0.667037,1.120266,0.019078,0.080862,0.046093,7501,0.012932,0.01294,2003-06-01,20.5
M2all,04745,clean,0.715178,1.107978,0.017992,0.072639,0.043265,7404,0.012932,0.011419,2003-06-01,20.5
M2all,04745,clean_exkl_curt,0.701103,1.113326,0.018063,0.068494,0.040842,7404,0.012932,0.011419,2003-06-01,20.5
M2all,05347,raw,0.575781,1.186707,0.050595,0.196003,0.122083,7511,0.231261,0.050583,2018-07-01,5.42
M2all,05347,clean,0.812019,1.070827,0.038072,0.123278,0.081644,5774,0.231261,0.018712,2018-07-01,5.42
M2all,05347,clean_exkl_curt,0.798514,1.071131,0.038122,0.123578,0.081999,5774,0.231261,0.018712,2018-07-01,5.42
M2all,05426,raw,0.673614,1.09562,0.027205,0.175035,0.109538,7512,0.151624,0.027006,2016-09-26,7.18
M2all,05426,clean,0.841102,1.047677,0.015471,0.120914,0.084117,6373,0.151624,0.014277,2016-09-26,7.18
M2all,05426,clean_exkl_curt,0.835961,1.048165,0.015262,0.120644,0.084144,6373,0.151624,0.014277,2016-09-26,7.18
M2all,07374,raw,0.663888,1.103585,0.019913,0.121401,0.073298,7512,0.030884,0.01991,2002-05-17,21.54
M2all,07374,clean,0.740177,1.068616,0.01502,0.106767,0.067924,7280,0.030884,0.013559,2002-05-17,21.54
M2all,07374,clean_exkl_curt,0.74522,1.060341,0.013199,0.102135,0.06516,7280,0.030884,0.013559,2002-05-17,21.54
M2noage,00198_1,raw,0.453913,1.094736,0.025553,0.20302,0.126876,7512,0.097577,0.025534,2013-09-01,10.25
M2noage,00198_1,clean,0.617702,1.048207,0.018416,0.167349,0.109658,6779,0.097577,0.013359,2013-09-01,10.25
M2noage,00198_1,clean_exkl_curt,0.598861,1.042205,0.017672,0.166808,0.108927,6779,0.097577,0.013359,2013-09-01,10.25
M2noage,00198_2,raw,0.739371,1.082058,0.029649,0.171376,0.116563,3649,0.180049,0.029649,2018-12-13,4.97
M2noage,00198_2,clean,0.870854,1.080886,0.03098,0.119796,0.086694,2992,0.180049,0.028551,2018-12-13,4.97
M2noage,00198_2,clean_exkl_curt,0.86785,1.081367,0.030899,0.120201,0.087101,2992,0.180049,0.028551,2018-12-13,4.97
M2noage,00282,raw,0.62048,0.984848,0.016511,0.202561,0.128391,7512,0.15402,-0.005446,2017-02-20,6.78
M2noage,00282,clean,0.831796,0.914934,0.030207,0.133774,0.092468,6355,0.15402,-0.030186,2017-02-20,6.78
M2noage,00282,clean_exkl_curt,0.830591,0.914632,0.030198,0.133454,0.09255,6355,0.15402,-0.030186,2017-02-20,6.78
M2noage,00298,raw,0.472221,1.313827,0.110612,0.239778,0.149921,7512,0.169995,0.110611,2016-12-01,7.0
M2noage,00298,clean,0.764357,1.227662,0.080032,0.15753,0.107303,6235,0.169995,0.079603,2016-12-01,7.0
M2noage,00298,clean_exkl_curt,0.754814,1.23644,0.081109,0.158753,0.108328,6235,0.169995,0.079603,2016-12-01,7.0
M2noage,01200_1,raw,0.074491,1.554983,0.15256,0.28077,0.172154,7512,0.126065,0.15256,2012-01-01,11.92
M2noage,01200_1,clean,0.607176,1.400999,0.111685,0.176624,0.125018,6565,0.126065,0.110972,2012-01-01,11.92
M2noage,01200_1,clean_exkl_curt,0.580962,1.417848,0.11173,0.176836,0.125155,6565,0.126065,0.110972,2012-01-01,11.92
M2noage,01200_2,raw,0.350676,1.505052,0.144283,0.234464,0.15809,7512,0.133387,0.144278,2014-01-01,9.91
M2noage,01200_2,clean,0.425041,1.531981,0.133628,0.200276,0.140762,6510,0.133387,0.133554,2014-01-01,9.91
M2noage,01200_2,clean_exkl_curt,0.388407,1.553585,0.133934,0.200445,0.140938,6510,0.133387,0.133554,2014-01-01,9.91
M2noage,01303_1,raw,0.518535,1.413078,0.090365,0.163299,0.112371,7511,0.05898,0.089951,2009-02-02,14.83
M2noage,01303_1,clean,0.520271,1.442488,0.091741,0.15259,0.106396,7068,0.05898,0.090998,2009-02-02,14.83
M2noage,01303_1,clean_exkl_curt,0.490924,1.454396,0.090364,0.150838,0.104804,7068,0.05898,0.090998,2009-02-02,14.83
M2noage,01303_2,raw,0.59863,1.311952,0.063662,0.136743,0.09173,7511,0.07935,0.062303,2001-11-23,22.02
M2noage,01303_2,clean,0.621136,1.331383,0.063069,0.120238,0.08286,6915,0.07935,0.060982,2001-11-23,22.02
M2noage,01303_2,clean_exkl_curt,0.603808,1.336079,0.061731,0.118481,0.081224,6915,0.07935,0.060982,2001-11-23,22.02
M2noage,02483,raw,0.742996,0.955755,0.020582,0.182405,0.1209,7512,0.176917,-0.02051,2015-12-01,8.0
