experiment,rung,park_id,park,n_hours,mse,bias_sq,variance_term,phase_term,bias_n,sigma_ratio,corr_r
M3noage,S1,02483,Hesse South,6106,0.01514,0.00126,0.000538,0.013342,-0.03549,0.93767,0.948639
M3noage,S1,04745,Lower Saxony,7408,0.006136,0.000462,0.000821,0.004853,0.021486,1.210943,0.89136
M3noage,S1,05347,Hesse North,5793,0.016993,0.000363,0.002442,0.014188,0.019042,1.175286,0.924064
M3noage,S1,05426,Palatinate,6334,0.021536,0.000958,0.001988,0.018591,0.030948,1.149615,0.908934
M3noage,S1,07374,North Rhine-Westphalia North,7272,0.01432,0.001686,0.001557,0.011078,0.041059,1.188478,0.89364
M4all,S2,00198_1,Saxony-Anhalt,6794,0.032775,3.3e-05,0.001608,0.031133,0.005761,1.148983,0.812988
M4all,S2,00198_2,Thuringia,2891,0.01419,1.3e-05,5.2e-05,0.014124,-0.003663,1.021949,0.93649
M4all,S2,00282,Bavaria,6387,0.028123,0.004143,0.00057,0.02341,-0.064368,0.926658,0.880783
M4all,S2,00298,Mecklenburg-Western Pomerania,6233,0.023582,0.005669,0.000648,0.017265,0.075293,1.078416,0.923997
M4all,S2,01200_1,Schleswig-Holstein West,6555,0.026368,0.009499,0.002332,0.014537,0.097463,1.171433,0.921801
M4all,S2,01200_2,Schleswig-Holstein East,6459,0.03482,0.015215,0.004629,0.014976,0.123348,1.259363,0.913599
M4all,S2,01303_1,North Rhine-Westphalia East,7019,0.014753,0.004397,0.002191,0.008166,0.066307,1.215637,0.928711
M4all,S2,01303_2,North Rhine-Westphalia West,6909,0.006496,0.000356,0.000501,0.00564,0.018865,1.11466,0.933554
M4all,S2,02483,Hesse South,6106,0.015591,0.001614,0.000589,0.013388,-0.04017,0.934802,0.948305
M4all,S2,04745,Lower Saxony,7408,0.004413,2.1e-05,0.000101,0.004291,0.004635,1.074016,0.891714
M4all,S2,05347,Hesse North,5793,0.016697,0.000302,0.002354,0.014041,0.017366,1.172078,0.924647
M4all,S2,05426,Palatinate,6334,0.020985,0.000764,0.001864,0.018357,0.027648,1.14489,0.909708
M4all,S2,07374,North Rhine-Westphalia North,7272,0.010683,0.000108,0.000297,0.010277,0.010416,1.082282,0.891642
M5all,S3,00198_1,Saxony-Anhalt,6794,0.030041,0.000289,0.00065,0.029103,-0.01699,1.09471,0.816519
M5all,S3,00198_2,Thuringia,2891,0.016616,0.001089,4e-06,0.015523,-0.032995,0.994272,0.928254
M5all,S3,00282,Bavaria,6387,0.034911,0.008435,0.001137,0.025339,-0.091844,0.896422,0.866609
M5all,S3,00298,Mecklenburg-Western Pomerania,6233,0.023582,0.005669,0.000648,0.017265,0.075293,1.078416,0.923997
M5all,S3,01200_1,Schleswig-Holstein West,6555,0.017952,0.00405,0.001181,0.01272,0.063643,1.12201,0.92856
M5all,S3,01200_2,Schleswig-Holstein East,6459,0.026122,0.009732,0.003578,0.012812,0.09865,1.228011,0.924196
M5all,S3,01303_1,North Rhine-Westphalia East,7019,0.013865,0.003694,0.001968,0.008204,0.060775,1.204359,0.927706
M5all,S3,01303_2,North Rhine-Westphalia West,6909,0.005779,9e-06,0.000147,0.005622,0.002982,1.062199,0.930488
M5all,S3,02483,Hesse South,6106,0.017148,0.00262,0.000726,0.013802,-0.051189,0.927602,0.946294
M5all,S3,04745,Lower Saxony,7408,0.004047,4e-06,1.4e-05,0.004028,-0.002121,1.027741,0.893755
M5all,S3,05347,Hesse North,5793,0.012835,0.000125,0.001047,0.011663,-0.011177,1.114755,0.93419
M5all,S3,05426,Palatinate,6334,0.020985,0.000764,0.001864,0.018357,0.027648,1.14489,0.909708
M5all,S3,07374,North Rhine-Westphalia North,7272,0.010392,3.2e-05,0.000194,0.010165,0.00567,1.066537,0.891239
M5all_PL,M4,00198_1,Saxony-Anhalt,6779,0.02558,0.000316,6.7e-05,0.025197,-0.017767,1.030279,0.833073
M5all_PL,M4,00198_2,Thuringia,2992,0.014304,9.6e-05,3.7e-05,0.014171,-0.009779,0.981632,0.935046
M5all_PL,M4,00282,Bavaria,6355,0.023417,0.004337,0.000989,0.018091,-0.065859,0.903609,0.905909
M5all_PL,M4,00298,Mecklenburg-Western Pomerania,6235,0.023589,0.005655,0.000651,0.017283,0.075197,1.078604,0.923921
M5all_PL,M4,01200_1,Schleswig-Holstein West,6565,0.018361,0.004155,0.001272,0.012933,0.064461,1.126556,0.927719
M5all_PL,M4,01200_2,Schleswig-Holstein East,6510,0.027469,0.010038,0.003959,0.013472,0.10019,1.238228,0.922022
M5all_PL,M4,01303_1,North Rhine-Westphalia East,7068,0.016947,0.004674,0.00329,0.008983,0.068369,1.260354,0.926578
M5all_PL,M4,01303_2,North Rhine-Westphalia West,6915,0.006506,0.00011,0.000655,0.005741,0.010477,1.130984,0.933483
M5all_PL,M4,02483,Hesse South,6183,0.013747,0.001747,0.001284,0.010716,-0.0418,0.903377,0.956862
M5all_PL,M4,04745,Lower Saxony,7404,0.004567,1.8e-05,0.000232,0.004317,0.004276,1.111912,0.895223
M5all_PL,M4,05347,Hesse North,5774,0.01196,0.000125,0.000571,0.011264,-0.011172,1.084053,0.935736
M5all_PL,M4,05426,Palatinate,6373,0.01462,0.000204,0.000112,0.014304,0.014277,1.034967,0.924896
M5all_PL,M4,07374,North Rhine-Westphalia North,7280,0.011009,7.6e-05,0.000416,0.010517,0.008743,1.097367,0.890777
